ID,class
545,7
546,9
547,2
548,0
549,6
550,9
551,2
552,5
553,1
554,9
555,5
556,6
557,9
558,6
559,3
560,1
561,6
562,7
563,2
564,6
565,5
566,3
567,8
568,5
569,8
570,5
571,8
572,0
573,2
574,0
575,3
576,0
577,6
578,9
579,4
580,9
581,4
582,3
583,5
584,4
585,4
586,4
587,6
588,5
589,6
590,4
591,8
592,0
593,7
594,2
595,1
596,1
597,2
598,3
599,6
600,8
601,0
602,7
603,3
604,9
605,0
606,4
607,8
608,5
609,5
610,6
611,8
612,2
613,2
614,4
615,5
616,2
617,6
618,7
619,2
620,1
621,5
622,0
623,5
624,5
625,7
626,5
627,3
628,9
629,5
630,6
631,9
632,1
633,0
634,5
635,8
636,0
637,8
638,9
639,6
640,1
641,9
642,2
643,4
644,5
645,0
646,9
647,5
648,8
649,6
650,4
651,7
652,5
653,0
654,5
655,2
656,8
657,4
658,3
659,6
660,8
661,4
662,3
663,7
664,3
665,2
666,5
667,4
668,6
669,8
670,9
671,8
672,5
673,5
674,4
675,1
676,9
677,6
678,1
679,5
680,3
681,8
682,8
683,5
684,1
685,0
686,7
687,5
688,2
689,2
690,1
691,8
692,3
693,3
694,8
695,8
696,8
697,3
698,7
699,0
700,9
701,6
702,7
703,3
704,6
705,0
706,5
707,0
708,4
709,8
710,3
711,8
712,1
713,4
714,3
715,5
716,3
717,7
718,8
719,0
720,6
721,6
722,9
723,2
724,7
725,6
726,1
727,3
728,9
729,5
730,5
731,4
732,7
733,1
734,9
735,3
736,5
737,4
738,3
739,2
740,8
741,6
742,2
743,7
744,2
745,4
746,2
747,7
748,7
749,6
750,1
751,4
752,6
753,7
754,7
755,0
756,0
757,2
758,0
759,6
760,3
761,8
762,6
763,8
764,6
765,6
766,2
767,3
768,3
769,5
770,8
771,2
772,6
773,9
774,2
775,2
776,0
777,1
778,7
779,8
780,3
781,1
782,9
783,3
784,4
785,9
786,0
787,4
788,1
789,2
790,0
791,1
792,5
793,7
794,3
795,7
796,9
797,5
798,8
799,1
800,3
801,7
802,5
803,7
804,7
805,2
806,4
807,7
808,6
809,2
810,2
811,8
812,3
813,5
814,2
815,9
816,9
817,2
818,6
819,6
820,8
821,1
822,5
823,0
824,9
825,6
826,7
827,6
828,1
829,5
830,0
831,5
832,8
833,2
834,6
835,5
836,1
837,0
838,9
839,9
840,4
841,1
842,7
843,1
844,5
845,1
846,0
847,8
848,9
849,0
850,7
851,3
852,5
853,4
854,8
855,6
856,6
857,5
858,6
859,6
860,9
861,5
862,1
863,8
864,7
865,8
866,9
867,2
868,9
869,6
870,2
871,4
872,2
873,1
874,4
875,2
876,6
877,9
878,3
879,5
880,1
881,6
882,5
883,1
884,0
885,6
886,5
887,6
888,9
889,1
890,1
891,7
892,8
893,8
894,3
895,6
896,6
897,8
898,1
899,9
900,0
901,0
902,1
903,9
904,6
905,5
906,4
907,4
908,6
909,6
910,5
911,7
912,1
913,6
914,7
915,5
916,5
917,2
918,2
919,1
920,7
921,5
922,2
923,5
924,0
925,4
926,9
927,2
928,7
929,2
930,8
931,0
932,5
933,6
934,2
935,5
936,1
937,9
938,7
939,1
940,0
941,2
942,1
943,0
944,6
945,9
946,6
947,1
948,9
949,3
950,3
951,3
952,6
953,7
954,6
955,0
956,1
957,1
958,0
959,3
960,2
961,5
962,9
963,1
964,1
965,0
966,9
967,5
968,2
969,3
970,2
971,5
972,1
973,1
974,9
975,1
976,2
977,7
978,6
979,6
980,6
981,5
982,3
983,3
984,7
985,9
986,5
987,7
988,6
989,9
990,0
991,6
992,1
993,4
994,6
995,3
996,1
997,7
998,1
999,6
1000,5
1001,6
1002,6
1003,5
1004,2
1005,3
1006,3
1007,5
1008,9
1009,5
1010,9
1011,1
1012,7
1013,7
1014,0
1015,6
1016,5
1017,8
1018,6
1019,2
1020,2
1021,1
1022,7
1023,2
1024,5
1025,3
1026,3
1027,1
1028,9
1029,2
1030,0
1031,0
1032,9
1033,3
1034,9
1035,6
1036,8
1037,1
1038,0
1039,8
1040,4
1041,6
1042,4
1043,9
1044,5
1045,0
1046,5
1047,8
1048,5
1049,5
1050,6
1051,7
1052,0
1053,9
1054,2
1055,1
1056,9
1057,7
1058,3
1059,8
1060,6
1061,2
1062,5
1063,8
1064,6
1065,8
1066,6
1067,1
1068,9
1069,6
1070,4
1071,4
1072,3
1073,1
1074,5
1075,3
1076,1
1077,7
1078,8
1079,9
1080,1
1081,4
1082,4
1083,1
1084,1
1085,9
1086,5
1087,4
1088,9
1089,1
1090,6
1091,8
1092,9
1093,0
1094,3
1095,8
1096,4
1097,3
1098,8
1099,8
1100,8
1101,7
1102,5
1103,5
1104,5
1105,4
1106,0
1107,1
1108,1
1109,5
1110,3
1111,6
1112,6
1113,8
1114,0
1115,2
1116,7
1117,8
1118,8
1119,5
1120,8
1121,3
1122,6
1123,3
1124,4
1125,2
1126,1
1127,9
1128,6
1129,1
1130,3
1131,5
1132,7
1133,2
1134,6
1135,5
1136,3
1137,4
1138,8
1139,6
1140,1
1141,3
1142,7
1143,9
1144,8
1145,5
1146,9
1147,6
1148,0
1149,6
1150,2
1151,2
1152,8
1153,9
1154,4
1155,7
1156,9
1157,2
1158,4
1159,7
1160,6
1161,1
1162,4
1163,3
1164,7
1165,3
1166,0
1167,1
1168,1
1169,8
1170,9
1171,1
1172,0
1173,3
1174,9
1175,5
1176,2
1177,8
1178,6
1179,9
1180,1
1181,1
1182,0
1183,8
1184,1
1185,4
1186,8
1187,1
1188,2
1189,9
1190,7
1191,2
1192,5
1193,3
1194,1
1195,8
1196,6
1197,5
1198,9
1199,1
1200,3
1201,6
1202,3
1203,6
1204,1
1205,2
1206,2
1207,2
1208,4
1209,0
1210,4
1211,1
1212,3
1213,9
1214,7
1215,6
1216,8
1217,1
1218,1
1219,5
1220,7
1221,2
1222,4
1223,8
1224,8
1225,0
1226,5
1227,3
1228,5
1229,4
1230,0
1231,5
1232,8
1233,5
1234,2
1235,6
1236,2
1237,1
1238,4
1239,0
1240,1
1241,6
1242,6
1243,1
1244,3
1245,9
1246,1
1247,2
1248,5
1249,2
1250,0
1251,5
1252,2
1253,2
1254,0
1255,1
1256,5
1257,1
1258,5
1259,5
1260,6
1261,6
1262,3
1263,7
1264,6
1265,2
1266,6
1267,9
1268,8
1269,1
1270,8
1271,5
1272,1
1273,0
1274,7
1275,6
1276,8
1277,2
1278,6
1279,2
1280,5
1281,4
1282,6
1283,3
1284,1
1285,9
1286,6
1287,4
1288,2
1289,6
1290,6
1291,4
1292,5
1293,2
1294,2
1295,0
1296,7
1297,0
1298,9
1299,8
1300,0
1301,6
1302,5
1303,7
1304,4
1305,3
1306,5
1307,3
1308,7
1309,2
1310,8
1311,5
1312,2
1313,8
1314,8
1315,4
1316,3
1317,4
1318,2
1319,9
1320,3
1321,6
1322,1
1323,7
1324,8
1325,1
1326,4
1327,7
1328,1
1329,8
1330,9
1331,5
1332,4
1333,5
1334,5
1335,3
1336,0
1337,0
1338,1
1339,7
1340,6
1341,8
1342,6
1343,7
1344,6
1345,2
1346,0
1347,3
1348,8
1349,5
1350,6
1351,8
1352,6
1353,8
1354,8
1355,2
1356,6
1357,2
1358,2
1359,4
1360,4
1361,7
1362,7
1363,7
1364,9
1365,5
1366,9
1367,0
1368,8
1369,0
1370,0
1371,3
1372,1
1373,3
1374,6
1375,6
1376,1
1377,6
1378,3
1379,6
1380,7
1381,4
1382,5
1383,1
1384,6
1385,4
1386,8
1387,6
1388,9
1389,1
1390,6
1391,8
1392,2
1393,5
1394,5
1395,4
1396,2
1397,8
1398,1
1399,3
1400,5
1401,6
1402,7
1403,2
1404,6
1405,5
1406,6
1407,9
1408,1
1409,0
1410,8
1411,7
1412,9
1413,0
1414,9
1415,9
1416,5
1417,3
1418,6
1419,6
1420,5
1421,5
1422,1
1423,8
1424,6
1425,6
1426,9
1427,4
1428,8
1429,9
1430,2
1431,5
1432,8
1433,4
1434,2
1435,2
1436,7
1437,8
1438,5
1439,5
1440,0
1441,2
1442,3
1443,4
1444,5
1445,5
1446,8
1447,9
1448,4
1449,7
1450,8
1451,4
1452,8
1453,2
1454,1
1455,2
1456,7
1457,2
1458,9
1459,8
1460,4
1461,1
1462,2
1463,5
1464,8
1465,4
1466,4
1467,7
1468,1
1469,3
1470,5
1471,5
1472,2
1473,5
1474,4
1475,1
1476,5
1477,2
1478,1
1479,6
1480,8
1481,5
1482,6
1483,4
1484,6
1485,5
1486,9
1487,5
1488,2
1489,1
1490,0
1491,2
1492,2
1493,2
1494,9
1495,5
1496,0
1497,2
1498,3
1499,6
1500,9
1501,4
1502,8
1503,6
1504,2
1505,5
1506,5
1507,1
1508,7
1509,9
1510,6
1511,8
1512,9
1513,6
1514,4
1515,6
1516,4
1517,5
1518,9
1519,7
1520,8
1521,0
1522,5
1523,3
1524,6
1525,5
1526,0
1527,6
1528,2
1529,0
1530,0
1531,1
1532,0
1533,4
1534,2
1535,2
1536,9
1537,4
1538,3
1539,6
1540,5
1541,4
1542,2
1543,5
1544,4
1545,1
1546,3
1547,8
1548,9
1549,1
1550,5
1551,3
1552,6
1553,6
1554,7
1555,8
1556,4
1557,9
1558,7
1559,8
1560,1
1561,5
1562,6
1563,6
1564,4
1565,0
1566,6
1567,7
1568,3
1569,6
1570,5
1571,0
1572,8
1573,2
1574,8
1575,6
1576,7
1577,3
1578,8
1579,0
1580,9
1581,6
1582,7
1583,8
1584,0
1585,9
1586,2
1587,2
1588,5
1589,5
1590,1
1591,6
1592,0
1593,4
1594,2
1595,6
1596,3
1597,0
1598,5
1599,6
1600,7
1601,2
1602,1
1603,3
1604,0
1605,2
1606,8
1607,4
1608,0
1609,3
1610,5
1611,8
1612,1
1613,9
1614,7
1615,0
1616,7
1617,3
1618,1
1619,6
1620,9
1621,1
1622,1
1623,2
1624,5
1625,6
1626,4
1627,3
1628,1
1629,1
1630,5
1631,5
1632,3
1633,4
1634,0
1635,9
1636,5
1637,1
1638,6
1639,0
1640,2
1641,6
1642,8
1643,5
1644,9
1645,6
1646,0
1647,4
1648,1
1649,8
1650,6
1651,1
1652,2
1653,4
1654,0
1655,4
1656,6
1657,1
1658,0
1659,2
1660,4
1661,3
1662,7
1663,6
1664,6
1665,8
1666,5
1667,4
1668,6
1669,8
1670,3
1671,5
1672,5
1673,5
1674,5
1675,8
1676,6
1677,3
1678,4
1679,5
1680,9
1681,5
1682,6
1683,2
1684,0
1685,6
1686,2
1687,3
1688,4
1689,1
1690,4
1691,8
1692,9
1693,5
1694,7
1695,4
1696,0
1697,6
1698,1
1699,0
1700,8
1701,0
1702,0
1703,1
1704,8
1705,0
1706,2
1707,1
1708,2
1709,7
1710,7
1711,3
1712,8
1713,7
1714,5
1715,1
1716,6
1717,8
1718,5
1719,0
1720,1
1721,3
1722,9
1723,2
1724,8
1725,0
1726,2
1727,9
1728,6
1729,6
1730,2
1731,0
1732,9
1733,5
1734,7
1735,2
1736,5
1737,0
1738,8
1739,6
1740,8
1741,1
1742,0
1743,8
1744,0
1745,2
1746,8
1747,7
1748,0
1749,8
1750,5
1751,3
1752,2
1753,7
1754,3
1755,8
1756,9
1757,6
1758,1
1759,6
1760,9
1761,8
1762,8
1763,6
1764,4
1765,2
1766,5
1767,5
1768,5
1769,4
1770,7
1771,9
1772,6
1773,8
1774,7
1775,5
1776,6
1777,6
1778,0
1779,9
1780,2
1781,4
1782,1
1783,9
1784,8
1785,1
1786,5
1787,6
1788,0
1789,6
1790,8
1791,9
1792,8
1793,5
1794,2
1795,0
1796,1
1797,7
1798,9
1799,1
1800,8
1801,2
1802,7
1803,3
1804,8
1805,8
1806,5
1807,6
1808,3
1809,5
1810,7
1811,2
1812,5
1813,1
1814,3
1815,5
1816,6
1817,3
1818,5
1819,2
1820,5
1821,6
1822,1
1823,0
1824,8
1825,2
1826,7
1827,2
1828,3
1829,3
1830,0
1831,2
1832,4
1833,3
1834,0
1835,5
1836,6
1837,2
1838,5
1839,6
1840,4
1841,5
1842,2
1843,5
1844,8
1845,5
1846,0
1847,3
1848,8
1849,8
1850,5
1851,7
1852,6
1853,3
1854,1
1855,5
1856,6
1857,7
1858,2
1859,5
1860,2
1861,9
1862,5
1863,8
1864,3
1865,5
1866,7
1867,3
1868,2
1869,4
1870,0
1871,0
1872,5
1873,9
1874,7
1875,5
1876,3
1877,8
1878,4
1879,7
1880,7
1881,6
1882,6
1883,1
1884,9
1885,2
1886,5
1887,2
1888,6
1889,1
1890,0
1891,9
1892,8
1893,6
1894,9
1895,2
1896,8
1897,6
1898,7
1899,6
1900,5
1901,2
1902,0
1903,8
1904,1
1905,5
1906,1
1907,9
1908,7
1909,1
1910,6
1911,0
1912,5
1913,1
1914,3
1915,2
1916,8
1917,9
1918,6
1919,7
1920,9
1921,6
1922,6
1923,7
1924,2
1925,4
1926,7
1927,6
1928,1
1929,0
1930,0
1931,2
1932,0
1933,6
1934,1
1935,5
1936,8
1937,3
1938,8
1939,7
1940,6
1941,4
1942,8
1943,2
1944,3
1945,2
1946,1
1947,0
1948,9
1949,6
1950,7
1951,7
1952,1
1953,9
1954,3
1955,6
1956,1
1957,4
1958,0
1959,9
1960,3
1961,4
1962,9
1963,3
1964,6
1965,4
1966,0
1967,0
1968,6
1969,3
1970,0
1971,0
1972,7
1973,6
1974,3
1975,0
1976,5
1977,0
1978,5
1979,1
1980,9
1981,2
1982,0
1983,1
1984,6
1985,2
1986,5
1987,1
1988,1
1989,6
1990,1
1991,6
1992,4
1993,7
1994,6
1995,4
1996,5
1997,5
1998,0
1999,6
2000,6
2001,6
2002,9
2003,1
2004,5
2005,2
2006,4
2007,0
2008,6
2009,4
2010,7
2011,1
2012,9
2013,4
2014,4
2015,2
2016,7
2017,1
2018,6
2019,2
2020,7
2021,1
2022,6
2023,8
2024,9
2025,0
2026,5
2027,8
2028,3
2029,2
2030,3
2031,6
2032,8
2033,5
2034,3
2035,4
2036,8
2037,5
2038,3
2039,3
2040,1
2041,0
2042,5
2043,3
2044,6
2045,5
2046,1
2047,3
2048,6
2049,8
2050,1
2051,5
2052,4
2053,9
2054,7
2055,5
2056,5
2057,1
2058,5
2059,1
2060,0
2061,5
2062,0
2063,2
2064,6
2065,1
2066,5
2067,6
2068,8
2069,7
2070,2
2071,2
2072,5
2073,7
2074,6
2075,2
2076,8
2077,3
2078,4
2079,3
2080,5
2081,9
2082,0
2083,7
2084,4
2085,3
2086,5
2087,5
2088,0
2089,7
2090,2
2091,7
2092,6
2093,9
2094,0
2095,1
2096,8
2097,1
2098,9
2099,7
2100,0
2101,7
2102,7
2103,6
2104,6
2105,5
2106,6
2107,6
2108,2
2109,0
2110,5
2111,9
2112,9
2113,8
2114,1
2115,5
2116,9
2117,0
2118,2
2119,8
2120,2
2121,0
2122,9
2123,6
2124,3
2125,5
2126,5
2127,9
2128,0
2129,6
2130,8
2131,9
2132,4
2133,8
2134,8
2135,3
2136,6
2137,6
2138,6
2139,3
2140,2
2141,1
2142,2
2143,3
2144,4
2145,6
2146,5
2147,4
2148,7
2149,9
2150,1
2151,6
2152,1
2153,8
2154,6
2155,7
2156,0
2157,2
2158,6
2159,7
2160,2
2161,0
2162,0
2163,6
2164,7
2165,3
2166,9
2167,6
2168,8
2169,7
2170,1
2171,1
2172,2
2173,7
2174,8
2175,3
2176,1
2177,7
2178,5
2179,9
2180,2
2181,1
2182,9
2183,2
2184,5
2185,1
2186,3
2187,6
2188,3
2189,2
2190,6
2191,9
2192,6
2193,1
2194,5
2195,9
2196,9
2197,8
2198,6
2199,2
2200,2
2201,3
2202,6
2203,5
2204,9
2205,1
2206,5
2207,9
2208,9
2209,9
2210,8
2211,7
2212,6
2213,5
2214,3
2215,7
2216,4
2217,5
2218,9
2219,8
2220,6
2221,8
2222,8
2223,7
2224,8
2225,9
2226,4
2227,1
2228,4
2229,0
2230,2
2231,6
2232,1
2233,0
2234,2
2235,9
2236,0
2237,6
2238,6
2239,7
2240,0
2241,2
2242,7
2243,7
2244,1
2245,3
2246,4
2247,6
2248,4
2249,0
2250,1
2251,4
2252,0
2253,4
2254,4
2255,2
2256,1
2257,0
2258,7
2259,7
2260,0
2261,9
2262,8
2263,5
2264,7
2265,8
2266,1
2267,9
2268,0
2269,1
2270,5
2271,4
2272,3
2273,6
2274,6
2275,3
2276,1
2277,9
2278,0
2279,2
2280,2
2281,6
2282,0
2283,5
2284,2
2285,2
2286,6
2287,9
2288,0
2289,7
2290,9
2291,1
2292,9
2293,9
2294,8
2295,7
2296,9
2297,2
2298,0
2299,9
2300,7
2301,5
2302,1
2303,2
2304,8
2305,5
2306,5
2307,0
2308,4
2309,9
2310,0
2311,2
2312,9
2313,3
2314,8
2315,6
2316,0
2317,6
2318,5
2319,4
2320,2
2321,2
2322,7
2323,0
2324,4
2325,6
2326,1
2327,0
2328,1
2329,1
2330,8
2331,9
2332,4
2333,5
2334,0
2335,6
2336,8
2337,4
2338,4
2339,1
2340,6
2341,6
2342,7
2343,5
2344,8
2345,7
2346,6
2347,2
2348,3
2349,2
2350,7
2351,0
2352,3
2353,3
2354,8
2355,7
2356,7
2357,2
2358,0
2359,7
2360,2
2361,4
2362,8
2363,3
2364,5
2365,0
2366,7
2367,5
2368,9
2369,3
2370,3
2371,6
2372,0
2373,0
2374,9
2375,5
2376,2
2377,3
2378,6
2379,3
2380,9
2381,2
2382,6
2383,9
2384,8
2385,5
2386,9
2387,1
2388,6
2389,0
2390,9
2391,6
2392,4
2393,5
2394,5
2395,6
2396,6
2397,7
2398,1
2399,5
2400,2
2401,7
2402,8
2403,5
2404,2
2405,9
2406,2
2407,9
2408,8
2409,0
2410,5
2411,0
2412,9
2413,8
2414,5
2415,4
2416,2
2417,3
2418,8
2419,6
2420,6
2421,5
2422,3
2423,8
2424,2
2425,8
2426,2
2427,6
2428,8
2429,6
2430,6
2431,6
2432,6
2433,1
2434,6
2435,5
2436,1
2437,4
2438,6
2439,5
2440,1
2441,4
2442,4
2443,5
2444,0
2445,6
2446,9
2447,2
2448,3
2449,9
2450,0
2451,0
2452,0
2453,1
2454,1
2455,0
2456,8
2457,9
2458,1
2459,7
2460,3
2461,8
2462,7
2463,3
2464,8
2465,7
2466,0
2467,7
2468,5
2469,6
2470,8
2471,7
2472,3
2473,1
2474,9
2475,2
2476,1
2477,4
2478,1
2479,1
2480,0
2481,9
2482,2
2483,8
2484,7
2485,2
2486,6
2487,4
2488,7
2489,6
2490,6
2491,4
2492,3
2493,2
2494,4
2495,2
2496,6
2497,5
2498,2
2499,0
2500,5
2501,0
2502,9
2503,6
2504,8
2505,0
2506,8
2507,8
2508,8
2509,7
2510,7
2511,5
2512,6
2513,5
2514,5
2515,9
2516,0
2517,9
2518,2
2519,1
2520,3
2521,1
2522,6
2523,9
2524,5
2525,7
2526,6
2527,2
2528,4
2529,5
2530,5
2531,8
2532,7
2533,8
2534,6
2535,9
2536,7
2537,5
2538,0
2539,9
2540,6
2541,8
2542,4
2543,1
2544,6
2545,8
2546,5
2547,7
2548,1
2549,4
2550,5
2551,0
2552,5
2553,2
2554,7
2555,1
2556,0
2557,9
2558,6
2559,6
2560,2
2561,0
2562,6
2563,7
2564,3
2565,8
2566,6
2567,2
2568,2
2569,3
2570,6
2571,4
2572,7
2573,8
2574,6
2575,2
2576,3
2577,8
2578,8
2579,4
2580,0
2581,1
2582,2
2583,4
2584,8
2585,3
2586,8
2587,8
2588,7
2589,9
2590,6
2591,6
2592,6
2593,1
2594,1
2595,7
2596,5
2597,3
2598,6
2599,0
2600,9
2601,0
2602,3
2603,4
2604,9
2605,9
2606,6
2607,5
2608,9
2609,1
2610,2
2611,9
2612,4
2613,2
2614,3
2615,8
2616,7
2617,5
2618,0
2619,6
2620,1
2621,0
2622,5
2623,6
2624,5
2625,0
2626,6
2627,0
2628,0
2629,6
2630,7
2631,2
2632,0
2633,6
2634,0
2635,8
2636,6
2637,9
2638,9
2639,9
2640,7
2641,9
2642,7
2643,2
2644,9
2645,8
2646,2
2647,8
2648,1
2649,4
2650,7
2651,5
2652,4
2653,8
2654,0
2655,9
2656,0
2657,4
2658,0
2659,4
2660,4
2661,2
2662,8
2663,5
2664,7
2665,2
2666,6
2667,2
2668,6
2669,1
2670,9
2671,9
2672,6
2673,5
2674,5
2675,7
2676,5
2677,7
2678,7
2679,5
2680,1
2681,9
2682,0
2683,4
2684,5
2685,6
2686,7
2687,0
2688,1
2689,1
2690,6
2691,6
2692,1
2693,1
2694,8
2695,6
2696,8
2697,9
2698,6
2699,1
2700,6
2701,8
2702,4
2703,8
2704,0
2705,6
2706,4
2707,6
2708,3
2709,6
2710,0
2711,7
2712,9
2713,4
2714,7
2715,0
2716,5
2717,9
2718,9
2719,2
2720,4
2721,1
2722,5
2723,7
2724,1
2725,7
2726,9
2727,7
2728,6
2729,7
2730,0
2731,7
2732,7
2733,4
2734,6
2735,7
2736,4
2737,5
2738,2
2739,7
2740,8
2741,6
2742,4
2743,9
2744,7
2745,8
2746,0
2747,5
2748,1
2749,0
2750,8
2751,6
2752,0
2753,0
2754,2
2755,4
2756,9
2757,8
2758,9
2759,5
2760,8
2761,9
2762,1
2763,6
2764,6
2765,9
2766,2
2767,9
2768,6
2769,8
2770,7
2771,5
2772,1
2773,2
2774,6
2775,4
2776,8
2777,7
2778,9
2779,9
2780,4
2781,7
2782,0
2783,6
2784,6
2785,6
2786,3
2787,7
2788,2
2789,3
2790,1
2791,5
2792,6
2793,9
2794,2
2795,2
2796,9
2797,5
2798,3
2799,2
2800,3
2801,8
2802,4
2803,8
2804,2
2805,0
2806,8
2807,1
2808,4
2809,6
2810,8
2811,9
2812,4
2813,8
2814,2
2815,8
2816,5
2817,6
2818,2
2819,1
2820,8
2821,4
2822,5
2823,2
2824,2
2825,1
2826,9
2827,3
2828,2
2829,6
2830,0
2831,2
2832,0
2833,1
2834,3
2835,2
2836,1
2837,4
2838,4
2839,1
2840,2
2841,1
2842,8
2843,2
2844,7
2845,7
2846,3
2847,9
2848,7
2849,2
2850,0
2851,6
2852,7
2853,4
2854,5
2855,2
2856,8
2857,0
2858,1
2859,8
2860,7
2861,2
2862,4
2863,5
2864,3
2865,2
2866,2
2867,5
2868,6
2869,6
2870,1
2871,2
2872,6
2873,5
2874,3
2875,5
2876,2
2877,1
2878,0
2879,3
2880,7
2881,8
2882,7
2883,5
2884,6
2885,8
2886,7
2887,8
2888,1
2889,4
2890,1
2891,5
2892,2
2893,7
2894,6
2895,1
2896,5
2897,2
2898,6
2899,8
2900,2
2901,2
2902,1
2903,7
2904,9
2905,2
2906,6
2907,1
2908,6
2909,0
2910,5
2911,5
2912,3
2913,3
2914,4
2915,2
2916,3
2917,5
2918,1
2919,7
2920,6
2921,8
2922,0
2923,8
2924,1
2925,2
2926,0
2927,1
2928,1
2929,5
2930,7
2931,8
2932,8
2933,5
2934,3
2935,2
2936,0
2937,4
2938,7
2939,2
2940,4
2941,5
2942,1
2943,4
2944,6
2945,0
2946,5
2947,3
2948,7
2949,7
2950,5
2951,0
2952,5
2953,0
2954,5
2955,9
2956,9
2957,2
2958,7
2959,5
2960,9
2961,6
2962,8
2963,1
2964,1
2965,1
2966,4
2967,9
2968,3
2969,0
2970,3
2971,2
2972,7
2973,3
2974,3
2975,3
2976,2
2977,7
2978,2
2979,8
2980,2
2981,6
2982,9
2983,0
2984,4
2985,6
2986,9
2987,2
2988,7
2989,3
2990,4
2991,6
2992,1
2993,2
2994,5
2995,0
2996,7
2997,7
